127.0.0.1 - - [24/Aug/2021:13:21:34 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Aug/2021:13:21:35 +0900] "GET /BBS/joinAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [24/Aug/2021:13:21:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Aug/2021:13:22:00 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [24/Aug/2021:13:22:13 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [24/Aug/2021:13:22:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [24/Aug/2021:13:32:00 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [24/Aug/2021:13:32:00 +0900] "GET /BBS/main.jsp HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:43:29 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:43:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:43:34 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:43:36 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:43:38 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:43:44 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:43:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:44:24 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:44:24 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:45:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:45:20 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:45:25 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:45:27 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:45:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:45:43 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3524
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:45:47 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:46:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:55:14 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:55:17 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:55:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:55:27 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2544
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:55:31 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:55:31 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1702
0:0:0:0:0:0:0:1 - - [24/Aug/2021:14:55:38 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [24/Aug/2021:15:13:31 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [24/Aug/2021:15:13:33 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2621
